"","X1","PROVINCIE","Matig_Veel","Hoelang_zit_stront_er_al_in","Poepsterkte"
"310","13","Zuid Holland","M","23 tot 30 jaar",39.52
"311","13","Noord Brabant","M","23 tot 30 jaar",44.8
"312","13","Zuid Holland","V","30 tot 40 jaar",43.2
"313","13","Noord Brabant","V","23 tot 30 jaar",39.36
"314","13","Gelderland","V","23 tot 30 jaar",32.96
"315","13","Drenthe","V","Ouder dan 40 jaar",39.36
"316","13","Noord Holland","V","17 tot 23 jaar",48.48
"317","13","Zuid Holland","V","23 tot 30 jaar",39.52
"318","13","Utrecht","M","Ouder dan 40 jaar",30.88
"319","13","Noord Brabant","M","23 tot 30 jaar",39.2
"320","13","Gelderland","M","Ouder dan 40 jaar",33.44
"321","13","Noord Holland","M","23 tot 30 jaar",44.64
"322","13","Noord Holland","V","30 tot 40 jaar",31.84
"323","13","Zuid Holland","V","23 tot 30 jaar",36.48
"324","13","Noord Brabant","V","17 tot 23 jaar",44.48
"325","13","Zuid Holland","V","23 tot 30 jaar",36.64
"326","13","Utrecht","V","23 tot 30 jaar",33.12
"327","13","Noord Brabant","V","Ouder dan 40 jaar",31.04
"328","13","Utrecht","M","17 tot 23 jaar",30.88
"329","13","Zuid Holland","V","30 tot 40 jaar",37.76
"330","13","Limburg","V","17 tot 23 jaar",40.8
"331","13","Noord Holland","V","23 tot 30 jaar",30.72
"332","13","Overijssel","V","Ouder dan 40 jaar",41.6
"333","13","Limburg","V","17 tot 23 jaar",36.32
"334","13","Zuid Holland","V","Ouder dan 40 jaar",41.76
"335","13","Utrecht","V","23 tot 30 jaar",32.48
"336","13","Gelderland","V","17 tot 23 jaar",40.32
"337","13","Utrecht","V","23 tot 30 jaar",42.88
"338","13","Zuid Holland","V","Ouder dan 40 jaar",35.2
"339","13","Zuid Holland","V","30 tot 40 jaar",35.2
"340","13","Gelderland","M","Ouder dan 40 jaar",43.04
"341","13","Gelderland","M","Ouder dan 40 jaar",43.04
"342","13","Noord Brabant","V","17 tot 23 jaar",46.24
"343","13","Noord Holland","V","17 tot 23 jaar",33.92
"344","13","Utrecht","V","Ouder dan 40 jaar",52.16
"345","13","Utrecht","V","30 tot 40 jaar",50.4
"346","13","Noord Brabant","V","30 tot 40 jaar",46.56
"347","13","Noord Holland","V","23 tot 30 jaar",34.72
"348","13","Noord Brabant","V","23 tot 30 jaar",34.4
"349","13","Limburg","V","23 tot 30 jaar",30.72
"350","13","Utrecht","V","Ouder dan 40 jaar",36.48
"351","13","Zuid Holland","V","30 tot 40 jaar",35.68
"352","13","Drenthe","V","30 tot 40 jaar",30.56
"353","13","Noord Holland","V","30 tot 40 jaar",40.8
"354","13","Utrecht","M","Ouder dan 40 jaar",32.8
"355","13","Utrecht","V","30 tot 40 jaar",36.64
"356","13","Zuid Holland","V","Ouder dan 40 jaar",40.16
"357","13","Groningen","V","17 tot 23 jaar",33.44
"358","13","Gelderland","V","Ouder dan 40 jaar",36
"359","13","Zuid Holland","V","Ouder dan 40 jaar",41.28
"360","13","Noord Brabant","V","23 tot 30 jaar",41.12
"361","13","Noord Brabant","V","30 tot 40 jaar",43.52
"362","13","Noord Brabant","V","23 tot 30 jaar",43.52
"363","13","Noord Brabant","V","Ouder dan 40 jaar",33.6
"364","13","Frysl<e2>n","V","Ouder dan 40 jaar",43.68
"365","13","Limburg","M","23 tot 30 jaar",38.88
"366","13","Zuid Holland","M","23 tot 30 jaar",35.2
"367","13","Flevoland","V","23 tot 30 jaar",30.56
"368","13","Utrecht","V","23 tot 30 jaar",45.12
"369","13","Utrecht","M","Ouder dan 40 jaar",34.4
"370","13","Zuid Holland","V","Ouder dan 40 jaar",30.88
"371","13","Limburg","V","23 tot 30 jaar",39.2
"372","13","Noord Brabant","V","17 tot 23 jaar",38.56
"373","13","Zuid Holland","V","Ouder dan 40 jaar",37.6
"374","13","Noord Holland","V","23 tot 30 jaar",40
"375","13","Groningen","M","17 tot 23 jaar",31.2
"376","13","Groningen","V","30 tot 40 jaar",32.48
"377","13","Zuid Holland","M","23 tot 30 jaar",37.76
"378","13","Noord Brabant","M","23 tot 30 jaar",38.24
"379","13","Gelderland","V","17 tot 23 jaar",35.2
"380","13","Zuid Holland","M","23 tot 30 jaar",39.52
"381","13","Zuid Holland","M","Ouder dan 40 jaar",30.56
"382","13","Utrecht","M","17 tot 23 jaar",33.44
"383","13","Utrecht","V","23 tot 30 jaar",34.4
"384","13","Utrecht","V","Ouder dan 40 jaar",32.8
"385","13","Utrecht","M","17 tot 23 jaar",38.4
"386","13","Utrecht","V","23 tot 30 jaar",43.52
"387","13","Gelderland","V","Ouder dan 40 jaar",39.84
"388","13","Noord Brabant","V","30 tot 40 jaar",30.24
"389","13","Gelderland","V","Ouder dan 40 jaar",34.24
"390","13","Frysl<e2>n","V","Ouder dan 40 jaar",42.4
"391","13","Noord Brabant","V","23 tot 30 jaar",32.96
"392","13","Gelderland","V","17 tot 23 jaar",46.4
"393","13","Noord Brabant","V","17 tot 23 jaar",32.96
"394","13","Zuid Holland","M","17 tot 23 jaar",39.68
"395","13","Limburg","V","23 tot 30 jaar",30.72
"396","13","Limburg","V","23 tot 30 jaar",30.4
"397","13","Noord Brabant","V","30 tot 40 jaar",36.32
"398","13","Noord Brabant","V","17 tot 23 jaar",42.88
"399","13","Utrecht","M","Ouder dan 40 jaar",32.8
"400","13","Utrecht","M","23 tot 30 jaar",33.92
"401","13","Noord Holland","V","23 tot 30 jaar",34.72
"402","13","Zuid Holland","V","Ouder dan 40 jaar",37.6
"403","13","Noord Brabant","V","23 tot 30 jaar",40.32
"404","13","Noord Holland","V","23 tot 30 jaar",31.04
"405","13","Utrecht","V","Ouder dan 40 jaar",33.12
"406","13","Utrecht","V","Ouder dan 40 jaar",35.68
"407","13","Frysl<e2>n","V","Ouder dan 40 jaar",39.04
"408","13","Noord Holland","M","23 tot 30 jaar",44.8
"409","13","Zuid Holland","M","30 tot 40 jaar",43.84
"410","13","Groningen","V","17 tot 23 jaar",32.48
"411","13","Gelderland","V","17 tot 23 jaar",38.24
"412","13","Gelderland","V","Ouder dan 40 jaar",31.2
"413","13","Utrecht","M","Ouder dan 40 jaar",33.44
"414","13","Zuid Holland","V","Ouder dan 40 jaar",34.88
"415","13","Noord Holland","M","23 tot 30 jaar",42.88
"416","13","Noord Holland","M","23 tot 30 jaar",41.44
"417","13","Utrecht","M","Ouder dan 40 jaar",32.8
"418","13","Zuid Holland","V","30 tot 40 jaar",36.32
"419","13","Frysl<e2>n","M","Ouder dan 40 jaar",30.24
"420","13","Utrecht","V","Ouder dan 40 jaar",44.96
"421","13","Noord Holland","V","Ouder dan 40 jaar",34.72
"422","13","Gelderland","V","23 tot 30 jaar",34.08
"423","13","Utrecht","V","17 tot 23 jaar",32.32
"424","13","Noord Holland","V","17 tot 23 jaar",34.72
"425","13","Utrecht","M","23 tot 30 jaar",41.12
"426","13","Noord Holland","M","30 tot 40 jaar",34.72
"427","13","Frysl<e2>n","M","Ouder dan 40 jaar",37.6
"428","13","Noord Holland","V","Ouder dan 40 jaar",44.64
"429","13","Zuid Holland","V","30 tot 40 jaar",43.52
"430","13","Zuid Holland","V","30 tot 40 jaar",32
"431","13","Noord Brabant","V","30 tot 40 jaar",41.44
"432","13","Zuid Holland","V","23 tot 30 jaar",33.6
"433","13","Noord Brabant","V","Ouder dan 40 jaar",44.32
"434","13","Overijssel","M","30 tot 40 jaar",33.6
"435","13","Zuid Holland","M","23 tot 30 jaar",33.28
"436","13","Utrecht","V","23 tot 30 jaar",35.04
"437","13","Noord Holland","V","30 tot 40 jaar",38.4
"438","13","Utrecht","V","Ouder dan 40 jaar",35.52
"439","13","Gelderland","V","30 tot 40 jaar",41.28
"440","13","Noord Brabant","V","30 tot 40 jaar",32.96
"441","13","Zuid Holland","V","Ouder dan 40 jaar",36.48
"442","13","Utrecht","M","Ouder dan 40 jaar",34.56
"443","13","Utrecht","M","Ouder dan 40 jaar",32.8
"444","13","Zuid Holland","V","30 tot 40 jaar",35.68
"445","13","Frysl<e2>n","V","Ouder dan 40 jaar",39.2
"446","13","Utrecht","M","Ouder dan 40 jaar",32.8
"447","13","Zuid Holland","V","Ouder dan 40 jaar",35.04
"448","13","Zuid Holland","V","30 tot 40 jaar",39.2
"449","13","Zuid Holland","V","23 tot 30 jaar",45.28
"450","13","Utrecht","V","30 tot 40 jaar",31.52
"451","13","Utrecht","V","23 tot 30 jaar",44
"452","13","Flevoland","M","Ouder dan 40 jaar",43.36
"453","13","Overijssel","V","Ouder dan 40 jaar",37.6
"454","13","Utrecht","M","23 tot 30 jaar",35.84
"455","13","Noord Brabant","V","Ouder dan 40 jaar",39.04
"456","13","Gelderland","M","23 tot 30 jaar",39.68
"457","13","Utrecht","V","23 tot 30 jaar",48.8
"458","13","Flevoland","M","17 tot 23 jaar",31.68
"459","13","Zuid Holland","V","23 tot 30 jaar",45.12
"460","13","Noord Brabant","V","23 tot 30 jaar",49.92
"461","13","Utrecht","V","23 tot 30 jaar",30.72
"462","13","Utrecht","V","17 tot 23 jaar",31.04
"463","13","Noord Holland","M","23 tot 30 jaar",32.8
"464","13","Zuid Holland","V","30 tot 40 jaar",40.96
"465","13","Gelderland","V","30 tot 40 jaar",36.32
"466","13","Zuid Holland","V","23 tot 30 jaar",35.84
"467","13","Noord Holland","M","23 tot 30 jaar",40.64
"468","13","Utrecht","M","Ouder dan 40 jaar",32.8
"469","13","Noord Holland","V","17 tot 23 jaar",43.04
